Date,Open,High,Low,Close,Adj Close,Volume
2020-10-30,2636.100098,2674.350098,2621.600098,2664.850098,2664.850098,3427003
2020-11-02,2660.000000,2664.850098,2600.050049,2604.600098,2604.600098,2571196
2020-11-03,2604.000000,2665.000000,2601.050049,2633.600098,2633.600098,2879269
2020-11-04,2610.000000,2721.850098,2610.000000,2653.149902,2653.149902,4893928
2020-11-05,2685.000000,2710.000000,2667.000000,2685.699951,2685.699951,2816502
2020-11-06,2699.000000,2713.250000,2681.300049,2707.449951,2707.449951,3884421
2020-11-09,2731.100098,2744.000000,2695.100098,2726.600098,2726.600098,3646592
2020-11-10,2697.199951,2713.149902,2638.350098,2649.600098,2649.600098,4760020
2020-11-11,2667.949951,2692.800049,2643.399902,2687.800049,2687.800049,3242441
2020-11-12,2686.000000,2713.000000,2661.750000,2671.050049,2671.050049,2437505
2020-11-13,2655.750000,2664.899902,2636.000000,2656.850098,2656.850098,2548093
2020-11-14,null,null,null,null,null,null
2020-11-17,2695.000000,2695.000000,2650.050049,2666.050049,2666.050049,2827273
2020-11-18,2661.000000,2664.199951,2607.050049,2626.649902,2626.649902,2893762
2020-11-19,2637.000000,2676.149902,2630.850098,2636.899902,2636.899902,4167501
2020-11-20,2655.000000,2676.000000,2627.550049,2660.250000,2660.250000,2711471
2020-11-23,2690.000000,2730.000000,2665.000000,2724.250000,2724.250000,3706418
2020-11-24,2734.399902,2743.000000,2705.000000,2722.050049,2722.050049,3120516
2020-11-25,2729.000000,2732.949951,2688.199951,2701.300049,2701.300049,3302249
2020-11-26,2686.000000,2730.949951,2680.000000,2720.600098,2720.600098,2341099
2020-11-27,2705.000000,2717.699951,2669.050049,2679.649902,2679.649902,6086808
2020-12-01,2679.000000,2735.899902,2624.449951,2726.800049,2726.800049,3605017
2020-12-02,2719.000000,2754.699951,2702.449951,2749.550049,2749.550049,2509032
2020-12-03,2773.899902,2773.899902,2700.800049,2709.449951,2709.449951,2852548
2020-12-04,2710.800049,2738.850098,2699.000000,2727.550049,2727.550049,2686527
2020-12-07,2715.000000,2744.000000,2706.149902,2737.699951,2737.699951,1996400
2020-12-08,2740.000000,2805.550049,2732.449951,2797.300049,2797.300049,4277818
2020-12-09,2815.000000,2840.000000,2793.149902,2810.800049,2810.800049,3659996
2020-12-10,2818.000000,2827.300049,2780.250000,2784.300049,2784.300049,2127801
2020-12-11,2792.699951,2807.699951,2764.550049,2783.600098,2783.600098,1795408
2020-12-14,2802.000000,2804.000000,2756.250000,2797.699951,2797.699951,2483658
2020-12-15,2786.000000,2794.699951,2755.000000,2761.550049,2761.550049,2365509
2020-12-16,2779.000000,2819.800049,2760.449951,2814.199951,2814.199951,2563601
